Rank,Symbol,Security,Market Cap,1d %,7d %,Exchange,Volume
443,RL,Ralph Lauren Corporation,13821839360,0.4,12.61,NYQ,816090
444,CAG,Conagra Brands,13573644288,0.46,-1.83,NYQ,2911456
445,CPB,Campbell Soup Company,13568313344,1.04,-1.6,NMS,1767574
446,REG,Regency Centers,13556372480,0.5,3.95,NMS,705337
447,AKAM,Akamai Technologies,13494870016,-14.4,-11.14,NMS,8951894
448,EPAM,EPAM Systems,13241610240,0.23,23.37,NYQ,773987
449,APTV,Aptiv,13220774912,1.1,-0.21,NYQ,4562483
450,DLTR,Dollar Tree,13202658304,-3.35,-7.79,NMS,5064575
451,PAYC,Paycom,13190182912,0.69,8.59,NYQ,391464
452,JKHY,Jack Henry & Associates,13115892736,-0.11,-1.8,NMS,544280
453,CPT,Camden Property Trust,12987344896,2.66,7.04,NYQ,1111471
454,JNPR,Juniper Networks,12882672640,-0.23,-0.23,NYQ,2849669
455,CHRW,C.H. Robinson,12832334848,0.6,6.62,NMS,879683
456,DAY,Dayforce,12795778048,0.63,7.86,NYQ,1328373
457,SOLV,Solventum,12512572416,,,NYQ,2158977
458,ALLE,Allegion,12498694144,0.75,2.82,NYQ,650944
459,SJM,J.M. Smucker Company (The),12284572672,0.16,2.24,NYQ,894332
460,DVA,DaVita,12275712000,-0.47,5.7,NYQ,748561
461,TAP,Molson Coors Beverage Company,12271265792,4.99,8.29,NYQ,3208922
462,TPR,"Tapestry, Inc.",12169140224,1.3,11.18,NYQ,3566339
463,BG,Bunge Global,12164304896,0.36,5.45,NYQ,1835696
464,TECH,Bio-Techne,12069436416,-0.5,0.97,NMS,614249
465,NCLH,Norwegian Cruise Line Holdings,12012822528,1,9.81,NYQ,8918626
466,ALB,Albemarle Corporation,11852733440,0.91,2.65,NYQ,1894625
467,EMN,Eastman Chemical Company,11761692672,-2,0.39,NYQ,1028288
468,KMX,CarMax,11702959104,-1.18,4.48,NYQ,1390771
469,LW,Lamb Weston,11578956800,1.12,5.33,NYQ,1580030
470,GNRC,Generac,11265814528,1.41,12.1,NYQ,782552
471,IPG,Interpublic Group of Companies (The),11111943168,-0.8,1.19,NYQ,3709165
472,BEN,Franklin Resources,11016544256,-1.17,0.96,NYQ,2606366
473,CRL,Charles River Laboratories,11014225920,2.43,19.03,NYQ,625702
474,MGM,MGM Resorts,10924080128,-2.6,0.77,NYQ,3550397
475,AOS,A. O. Smith,10854326272,-1.54,-0.72,NYQ,1289404
476,CTLT,Catalent,10783628288,-0.85,1.16,NYQ,2565304
477,AIZ,Assurant,10739068928,1.72,9.19,NYQ,303637
478,PNW,Pinnacle West,10438796288,2.9,8.09,NYQ,1873589
479,MKTX,MarketAxess,10356643840,0.1,-4.43,NMS,314997
480,LKQ,LKQ Corporation,9974665216,-0.03,3.98,NMS,1919871
481,FRT,Federal Realty Investment Trust,9787513856,0.62,3.55,NYQ,721892
482,AES,AES Corporation,9669967872,-0.37,-7.55,NYQ,18008417
483,CE,Celanese,9265587200,-5.48,-32.06,NYQ,4414295
484,WYNN,Wynn Resorts,9257404416,-3.29,-11.89,NMS,4082234
485,MHK,Mohawk Industries,9211922432,0.6,8.68,NYQ,784209
486,GL,Globe Life,9166804992,0.55,4.98,NYQ,482521
487,TFX,Teleflex,9082065920,-1.25,-7.41,NYQ,645347
488,ENPH,Enphase Energy,9038658560,-6.55,-19.92,NGM,11776647
489,HAS,Hasbro,8981073920,0.37,-2.19,NMS,1017738
490,MOS,Mosaic Company (The),8835831808,-2.15,3.12,NYQ,3727837
491,CZR,Caesars Entertainment,8677683200,-0.66,4.13,NMS,2595295
492,HSIC,Henry Schein,8478307840,-2.06,-3.37,NMS,829671
493,AMTM,Amentum,8126287360,,,NYQ,1403260
494,IVZ,Invesco,8080930816,-1.64,1.12,NYQ,2930407
495,APA,APA Corporation,8053746688,-0.73,-5.72,NMS,11725777
496,HII,Huntington Ingalls Industries,7929944064,2.45,7.1,NYQ,431195
497,MTCH,Match Group,7881271296,-1.77,-14.37,NMS,10141748
498,WBA,Walgreens Boots Alliance,7842076160,-2.16,-4.12,NMS,20996395
499,PARA,Paramount Global,7830331392,-3.99,0.82,NMS,15664607
500,FMC,FMC Corporation,7452709376,-1.87,-5.46,NYQ,1036460
501,BWA,BorgWarner,7418303488,-3.25,1.44,NYQ,1849968
502,QRVO,Qorvo,6649953280,-2.37,-2.1,NMS,1547533
